zip;primary_city;state;latitude;longitude;country
00765;Vieques;PR;18.42;-65.83;US
00766;Villalba;PR;18.13;-66.48;US
00767;Yabucoa;PR;18.04;-65.87;US
00769;Coamo;PR;18.08;-66.36;US
00771;Las Piedras;PR;18.18;-65.86;US
00772;Loiza;PR;18.43;-65.88;US
00773;Luquillo;PR;18.37;-65.71;US
00775;Culebra;PR;18.31;-65.3;US
00777;Juncos;PR;18.22;-65.91;US
00778;Gurabo;PR;18.25;-65.97;US
00780;Coto Laurel;PR;18.09;-66.57;US
00782;Comerio;PR;18.22;-66.22;US
00783;Corozal;PR;18.34;-66.31;US
00784;Guayama;PR;17.97;-66.11;US
00785;Guayama;PR;17.97;-66.11;US
00786;La Plata;PR;18.16;-66.23;US
00791;Humacao;PR;18.15;-65.81;US
00792;Humacao;PR;18.15;-65.81;US
00794;Barranquitas;PR;18.18;-66.3;US
00795;Juana Diaz;PR;18.05;-66.5;US
00801;St Thomas;VI;18.35;-64.93;US
00802;St Thomas;VI;18.35;-64.93;US
00803;St Thomas;VI;18.35;-64.93;US
00804;St Thomas;VI;18.35;-64.93;US
00805;St Thomas;VI;18.34;-64.93;US
00820;Christiansted;VI;17.74;-64.7;US
00821;Christiansted;VI;17.74;-64.7;US
00822;Christiansted;VI;17.74;-64.7;US
00823;Christiansted;VI;17.74;-64.7;US
00824;Christiansted;VI;17.74;-64.7;US
00830;St John;VI;18.33;-64.79;US
00831;St John;VI;18.33;-64.79;US
00840;Frederiksted;VI;17.71;-64.88;US
00841;Frederiksted;VI;17.71;-64.88;US
00850;Kingshill;VI;17.76;-64.82;US
00851;Kingshill;VI;17.73;-64.8;US
00901;San Juan;PR;18.4;-66.06;US
00902;San Juan;PR;18.4;-66.06;US
00906;San Juan;PR;18.4;-66.06;US
00907;San Juan;PR;18.4;-66.06;US
00908;San Juan;PR;18.4;-66.06;US
00909;San Juan;PR;18.44;-66.06;US
00910;San Juan;PR;18.4;-66.06;US
00911;San Juan;PR;18.4;-66.06;US
00912;San Juan;PR;18.4;-66.06;US
00913;San Juan;PR;18.4;-66.06;US
00914;San Juan;PR;18.4;-66.06;US
00915;San Juan;PR;18.4;-66.06;US
00916;San Juan;PR;18.4;-66.06;US
00917;San Juan;PR;18.4;-66.06;US
00918;San Juan;PR;18.4;-66.06;US
00919;San Juan;PR;18.4;-66.06;US
00920;San Juan;PR;18.4;-66.06;US
00921;San Juan;PR;18.4;-66.06;US
00922;San Juan;PR;18.4;-66.06;US
00923;San Juan;PR;18.4;-66.06;US
00924;San Juan;PR;18.4;-66.06;US
00925;San Juan;PR;18.4;-66.06;US
00926;San Juan;PR;18.4;-66.06;US
00927;San Juan;PR;18.4;-66.06;US
00928;San Juan;PR;18.4;-66.06;US
00929;San Juan;PR;18.4;-66.06;US
00930;San Juan;PR;18.4;-66.06;US
00931;San Juan;PR;18.4;-66.06;US
00933;San Juan;PR;18.4;-66.06;US
00934;Fort Buchanan;PR;18.41;-66.11;US
00935;San Juan;PR;18.4;-66.06;US
00936;San Juan;PR;18.4;-66.06;US
00937;San Juan;PR;18.4;-66.06;US
00939;San Juan;PR;18.4;-66.06;US
00940;San Juan;PR;18.4;-66.06;US
00949;Toa Baja;PR;18.44;-66.25;US
00950;Toa Baja;PR;18.44;-66.25;US
00951;Toa Baja;PR;18.44;-66.25;US
00952;Sabana Seca;PR;18.42;-66.19;US
00953;Toa Alta;PR;18.39;-66.25;US
00954;Toa Alta;PR;18.39;-66.25;US
00955;San Juan;PR;18.4;-66.06;US
00956;Bayamon;PR;18.28;-66.13;US
00957;Bayamon;PR;18.28;-66.13;US
00958;Bayamon;PR;18.28;-66.13;US
00959;Bayamon;PR;18.28;-66.13;US
00960;Bayamon;PR;18.28;-66.13;US
00961;Bayamon;PR;18.41;-66.15;US
00962;Catano;PR;18.43;-66.11;US
00963;Catano;PR;18.43;-66.11;US
00965;Guaynabo;PR;18.38;-66.11;US
00966;Guaynabo;PR;18.38;-66.11;US
00968;Guaynabo;PR;18.38;-66.11;US
00969;Guaynabo;PR;18.38;-66.11;US
00970;Guaynabo;PR;18.38;-66.11;US
00971;Guaynabo;PR;18.38;-66.11;US
00975;San Juan;PR;18.4;-66.06;US
00976;Trujillo Alto;PR;18.36;-66.01;US
00977;Trujillo Alto;PR;18.36;-66.01;US
00978;Saint Just;PR;18.37;-66.01;US
00979;Carolina;PR;18.4;-65.98;US
00981;Carolina;PR;18.4;-65.98;US
00982;Carolina;PR;18.4;-65.98;US
00983;Carolina;PR;18.4;-65.98;US
00984;Carolina;PR;18.4;-65.98;US
00985;Carolina;PR;18.4;-65.98;US
00986;Carolina;PR;18.4;-65.98;US
00987;Carolina;PR;18.4;-65.98;US
00988;Carolina;PR;18.4;-65.98;US
01001;Agawam;MA;42.06;-72.61;US
01002;Amherst;MA;42.37;-72.52;US
01003;Amherst;MA;42.37;-72.52;US
01004;Amherst;MA;42.37;-72.52;US
01005;Barre;MA;42.42;-72.1;US
01007;Belchertown;MA;42.27;-72.4;US
01008;Blandford;MA;42.18;-72.93;US
01009;Bondsville;MA;42.2;-72.34;US
01010;Brimfield;MA;42.11;-72.2;US
01011;Chester;MA;42.28;-72.98;US
01012;Chesterfield;MA;42.4;-72.85;US
01013;Chicopee;MA;42.17;-72.57;US
01014;Chicopee;MA;42.17;-72.57;US
01020;Chicopee;MA;42.17;-72.57;US
01021;Chicopee;MA;42.17;-72.57;US
01022;Chicopee;MA;42.17;-72.57;US
01026;Cummington;MA;42.46;-72.9;US
01027;Easthampton;MA;42.26;-72.68;US
01028;East Longmeadow;MA;42.06;-72.51;US
01029;East Otis;MA;42.17;-73.03;US
01030;Feeding Hills;MA;42.06;-72.67;US
01031;Gilbertville;MA;42.35;-72.21;US
01032;Goshen;MA;42.43;-72.8;US
01033;Granby;MA;42.26;-72.52;US
01034;Granville;MA;42.06;-72.86;US
01035;Hadley;MA;42.35;-72.58;US
01036;Hampden;MA;42.06;-72.41;US
01037;Hardwick;MA;42.35;-72.2;US
01038;Hatfield;MA;42.37;-72.6;US
01039;Haydenville;MA;42.39;-72.7;US
01040;Holyoke;MA;42.21;-72.64;US
01041;Holyoke;MA;42.21;-72.64;US
01050;Huntington;MA;42.23;-72.88;US
01053;Leeds;MA;42.35;-72.71;US
01054;Leverett;MA;42.45;-72.5;US
01056;Ludlow;MA;42.16;-72.48;US
01057;Monson;MA;42.09;-72.31;US
01059;North Amherst;MA;42.4;-72.52;US
01060;Northampton;MA;42.32;-72.67;US
01061;Northampton;MA;42.32;-72.67;US
01062;Florence;MA;42.32;-72.67;US
01063;Northampton;MA;42.32;-72.67;US
01066;North Hatfield;MA;42.4;-72.6;US
01068;Oakham;MA;42.35;-72.05;US
01069;Palmer;MA;42.16;-72.32;US
01070;Plainfield;MA;42.51;-72.91;US
01071;Russell;MA;42.18;-72.85;US
01072;Shutesbury;MA;42.45;-72.4;US
01073;Southampton;MA;42.23;-72.73;US
01074;South Barre;MA;42.38;-72.09;US
01075;South Hadley;MA;42.26;-72.56;US
01077;Southwick;MA;42.05;-72.76;US
01079;Thorndike;MA;42.18;-72.33;US
01080;Three Rivers;MA;42.18;-72.37;US
01081;Wales;MA;42.06;-72.21;US
01082;Ware;MA;42.25;-72.24;US
01083;Warren;MA;42.21;-72.19;US
01084;West Chesterfield;MA;42.41;-72.87;US
01085;Westfield;MA;42.13;-72.75;US
01086;Westfield;MA;42.13;-72.75;US
01088;West Hatfield;MA;42.39;-72.64;US
01089;West Springfield;MA;42.12;-72.65;US
01090;West Springfield;MA;42.12;-72.65;US
01092;West Warren;MA;42.2;-72.2;US
01093;Whately;MA;42.45;-72.61;US
01094;Wheelwright;MA;42.35;-72.14;US
01095;Wilbraham;MA;42.13;-72.43;US
01096;Williamsburg;MA;42.4;-72.71;US
01097;Woronoco;MA;42.19;-72.82;US
01098;Worthington;MA;42.41;-72.93;US
01101;Springfield;MA;42.11;-72.53;US
01102;Springfield;MA;42.11;-72.53;US
01103;Springfield;MA;42.11;-72.53;US
01104;Springfield;MA;42.11;-72.53;US
01105;Springfield;MA;42.11;-72.53;US
01106;Longmeadow;MA;42.04;-72.57;US
01107;Springfield;MA;42.11;-72.53;US
01108;Springfield;MA;42.11;-72.53;US
01109;Springfield;MA;42.11;-72.53;US
01111;Springfield;MA;42.11;-72.53;US
01115;Springfield;MA;42.11;-72.53;US
01116;Longmeadow;MA;42.04;-72.57;US
01118;Springfield;MA;42.11;-72.53;US
01119;Springfield;MA;42.11;-72.53;US
01128;Springfield;MA;42.11;-72.53;US
01129;Springfield;MA;42.11;-72.53;US
01133;Springfield;MA;42.1;-72.59;US
01138;Springfield;MA;42.11;-72.53;US
01139;Springfield;MA;42.11;-72.53;US
01144;Springfield;MA;42.11;-72.53;US
01151;Indian Orchard;MA;42.15;-72.51;US
01152;Springfield;MA;42.11;-72.53;US
01195;Springfield;MA;42.1;-72.58;US
01199;Springfield;MA;42.11;-72.53;US
01201;Pittsfield;MA;42.45;-73.26;US
01202;Pittsfield;MA;42.45;-73.26;US
01203;Pittsfield;MA;42.45;-73.26;US
01220;Adams;MA;42.62;-73.11;US
01222;Ashley Falls;MA;42.05;-73.33;US
01223;Becket;MA;42.33;-73.07;US
01224;Berkshire;MA;42.51;-73.19;US
01225;Cheshire;MA;42.55;-73.15;US
01226;Dalton;MA;42.47;-73.16;US
01227;Dalton;MA;42.47;-73.16;US
01229;Glendale;MA;42.3;-73.32;US
01230;Great Barrington;MA;42.19;-73.35;US
01235;Hinsdale;MA;42.42;-73.07;US
01236;Housatonic;MA;42.25;-73.36;US
01237;Lanesboro;MA;42.51;-73.22;US
01238;Lee;MA;42.3;-73.25;US
01240;Lenox;MA;42.35;-73.28;US
01242;Lenox Dale;MA;42.36;-73.27;US
01243;Middlefield;MA;42.35;-73.01;US
01244;Mill River;MA;42.12;-73.27;US
01245;Monterey;MA;42.18;-73.21;US
01247;North Adams;MA;42.68;-73.11;US
01252;North Egremont;MA;42.17;-73.44;US
01253;Otis;MA;42.19;-73.07;US
01254;Richmond;MA;42.37;-73.36;US
01255;Sandisfield;MA;42.11;-73.13;US
01256;Savoy;MA;42.56;-73.02;US
01257;Sheffield;MA;42.1;-73.34;US
01258;South Egremont;MA;42.16;-73.41;US
01259;Southfield;MA;42.07;-73.23;US
01260;South Lee;MA;42.3;-73.23;US
01262;Stockbridge;MA;42.3;-73.32;US
01263;Stockbridge;MA;42.3;-73.32;US
01264;Tyringham;MA;42.24;-73.19;US
01266;West Stockbridge;MA;42.31;-73.39;US
01267;Williamstown;MA;42.7;-73.2;US
01270;Windsor;MA;42.51;-73.04;US
01301;Greenfield;MA;42.58;-72.59;US
01302;Greenfield;MA;42.58;-72.59;US
01330;Ashfield;MA;42.53;-72.78;US
01331;Athol;MA;42.59;-72.23;US
01337;Bernardston;MA;42.66;-72.55;US
01338;Buckland;MA;42.6;-72.78;US
01339;Charlemont;MA;42.63;-72.88;US
01340;Colrain;MA;42.66;-72.68;US
01341;Conway;MA;42.51;-72.68;US
01342;Deerfield;MA;42.55;-72.6;US
01343;Drury;MA;42.68;-72.98;US
01344;Erving;MA;42.6;-72.4;US
01346;Heath;MA;42.66;-72.83;US
01347;Lake Pleasant;MA;42.53;-72.54;US
01349;Millers Falls;MA;42.59;-72.55;US
01350;Monroe Bridge;MA;42.72;-72.98;US
01351;Montague;MA;42.53;-72.53;US
01354;Gill;MA;42.7;-72.43;US
01355;New Salem;MA;42.5;-72.33;US
01360;Northfield;MA;42.7;-72.43;US
01364;Orange;MA;42.59;-72.3;US
01366;Petersham;MA;42.48;-72.18;US
01367;Rowe;MA;42.7;-72.9;US
01368;Royalston;MA;42.68;-72.18;US
01370;Shelburne Falls;MA;42.6;-72.74;US
01373;South Deerfield;MA;42.47;-72.59;US
01375;Sunderland;MA;42.46;-72.58;US
01376;Turners Falls;MA;42.59;-72.55;US
01378;Warwick;MA;42.68;-72.33;US
01379;Wendell;MA;42.55;-72.4;US
01380;Wendell Depot;MA;42.58;-72.37;US
01420;Fitchburg;MA;42.58;-71.81;US
01430;Ashburnham;MA;42.63;-71.9;US
01431;Ashby;MA;42.68;-71.81;US
01432;Ayer;MA;42.56;-71.58;US
01434;Devens;MA;42.53;-71.61;US
01436;Baldwinville;MA;42.6;-72.07;US
01438;East Templeton;MA;42.53;-72.05;US
01440;Gardner;MA;42.58;-71.98;US
01441;Westminster;MA;42.58;-71.98;US
01450;Groton;MA;42.6;-71.57;US
01451;Harvard;MA;42.5;-71.58;US
01452;Hubbardston;MA;42.48;-72.01;US
01453;Leominster;MA;42.51;-71.77;US
01460;Littleton;MA;42.53;-71.47;US
01462;Lunenburg;MA;42.59;-71.72;US
01463;Pepperell;MA;42.66;-71.58;US
01464;Shirley;MA;42.54;-71.65;US
01467;Still River;MA;42.49;-71.61;US
01468;Templeton;MA;42.55;-72.06;US
01469;Townsend;MA;42.66;-71.7;US
01470;Groton;MA;42.6;-71.57;US
01471;Groton;MA;42.6;-71.57;US
01472;West Groton;MA;42.61;-71.62;US
01473;Westminster;MA;42.55;-71.9;US
01474;West Townsend;MA;42.66;-71.74;US
01475;Winchendon;MA;42.68;-72.04;US
01477;Winchendon Springs;MA;42.69;-72.01;US
01501;Auburn;MA;42.2;-71.83;US
01503;Berlin;MA;42.38;-71.63;US
01504;Blackstone;MA;42.01;-71.5;US
01505;Boylston;MA;42.35;-71.73;US
01506;Brookfield;MA;42.21;-72.1;US
01507;Charlton;MA;42.13;-71.96;US
01508;Charlton City;MA;42.13;-71.96;US
01509;Charlton Depot;MA;42.13;-71.96;US
01510;Clinton;MA;42.41;-71.68;US
01515;East Brookfield;MA;42.22;-72.04;US
01516;Douglas;MA;42.05;-71.73;US
01517;East Princeton;MA;42.46;-71.89;US
01518;Fiskdale;MA;42.12;-72.11;US
01519;Grafton;MA;42.2;-71.68;US
01520;Holden;MA;42.35;-71.85;US
01521;Holland;MA;42.05;-72.15;US
01522;Jefferson;MA;42.38;-71.87;US
01523;Lancaster;MA;42.45;-71.66;US
01524;Leicester;MA;42.25;-71.9;US
01525;Linwood;MA;42.05;-71.64;US
01526;Manchaug;MA;42.12;-71.76;US
01527;Millbury;MA;42.19;-71.76;US
01529;Millville;MA;42.03;-71.58;US
01531;New Braintree;MA;42.31;-72.13;US
01532;Northborough;MA;42.31;-71.64;US
01534;Northbridge;MA;42.15;-71.65;US
01535;North Brookfield;MA;42.27;-72.08;US
01536;North Grafton;MA;42.23;-71.69;US
01537;North Oxford;MA;42.16;-71.88;US
01538;North Uxbridge;MA;42.05;-71.64;US
01540;Oxford;MA;42.11;-71.87;US
01541;Princeton;MA;42.45;-71.86;US
01542;Rochdale;MA;42.2;-71.9;US
01543;Rutland;MA;42.36;-71.95;US
01545;Shrewsbury;MA;42.3;-71.71;US
01546;Shrewsbury;MA;42.3;-71.71;US
01550;Southbridge;MA;42.08;-72.03;US
01560;South Grafton;MA;42.17;-71.68;US
01561;South Lancaster;MA;42.43;-71.69;US
01562;Spencer;MA;42.24;-71.99;US
01564;Sterling;MA;42.43;-71.75;US
01566;Sturbridge;MA;42.09;-72.06;US
01568;Upton;MA;42.17;-71.61;US
01569;Uxbridge;MA;42.08;-71.6;US
01570;Webster;MA;42.04;-71.87;US
01571;Dudley;MA;42.05;-71.93;US
01580;Westborough;MA;42.26;-71.61;US
01581;Westborough;MA;42.26;-71.61;US
01582;Westborough;MA;42.26;-71.61;US
01583;West Boylston;MA;42.36;-71.78;US
01585;West Brookfield;MA;42.23;-72.14;US
01586;West Millbury;MA;42.19;-71.76;US
01588;Whitinsville;MA;42.11;-71.67;US
01590;Sutton;MA;42.15;-71.76;US
01601;Worcester;MA;42.26;-71.8;US
01602;Worcester;MA;42.26;-71.8;US
01603;Worcester;MA;42.26;-71.8;US
01604;Worcester;MA;42.26;-71.8;US
01605;Worcester;MA;42.26;-71.8;US
01606;Worcester;MA;42.26;-71.8;US
01607;Worcester;MA;42.26;-71.8;US
01608;Worcester;MA;42.26;-71.8;US
01609;Worcester;MA;42.26;-71.8;US
01610;Worcester;MA;42.26;-71.8;US
01611;Cherry Valley;MA;42.23;-71.87;US
01612;Paxton;MA;42.31;-71.93;US
01613;Worcester;MA;42.26;-71.8;US
01614;Worcester;MA;42.26;-71.8;US
01615;Worcester;MA;42.26;-71.8;US
01653;Worcester;MA;42.26;-71.8;US
01654;Worcester;MA;42.26;-71.8;US
01655;Worcester;MA;42.26;-71.8;US
01701;Framingham;MA;42.3;-71.43;US
01702;Framingham;MA;42.3;-71.43;US
01703;Framingham;MA;42.3;-71.43;US
01704;Framingham;MA;42.3;-71.43;US
01705;Framingham;MA;42.3;-71.43;US
01718;Village Of Nagog Woods;MA;42.51;-71.41;US
01719;Boxborough;MA;42.5;-71.5;US
01720;Acton;MA;42.48;-71.46;US
01721;Ashland;MA;42.25;-71.46;US
01730;Bedford;MA;42.48;-71.26;US
01731;Hanscom Afb;MA;42.46;-71.28;US
01740;Bolton;MA;42.43;-71.6;US
01741;Carlisle;MA;42.53;-71.35;US
01742;Concord;MA;42.45;-71.35;US
01745;Fayville;MA;42.29;-71.5;US
01746;Holliston;MA;42.2;-71.43;US
01747;Hopedale;MA;42.12;-71.54;US
01748;Hopkinton;MA;42.22;-71.52;US
01749;Hudson;MA;42.39;-71.56;US
01752;Marlborough;MA;42.34;-71.54;US
01754;Maynard;MA;42.42;-71.45;US
01756;Mendon;MA;42.1;-71.55;US
01757;Milford;MA;42.14;-71.51;US
01760;Natick;MA;42.28;-71.35;US
01770;Sherborn;MA;42.23;-71.36;US
01772;Southborough;MA;42.3;-71.51;US
01773;Lincoln;MA;42.41;-71.3;US
01775;Stow;MA;42.43;-71.5;US
01776;Sudbury;MA;42.36;-71.4;US
01778;Wayland;MA;42.36;-71.36;US
01784;Woodville;MA;42.23;-71.55;US
01801;Woburn;MA;42.48;-71.15;US
01803;Burlington;MA;42.5;-71.2;US
01805;Burlington;MA;42.5;-71.2;US
01806;Woburn;MA;42.47;-71.15;US
01807;Woburn;MA;42.48;-71.15;US
01808;Woburn;MA;42.5;-71.12;US
01810;Andover;MA;42.65;-71.14;US
01812;Andover;MA;42.65;-71.14;US
01813;Woburn;MA;42.48;-71.15;US
01815;Woburn;MA;42.48;-71.15;US
01821;Billerica;MA;42.55;-71.26;US
01822;Billerica;MA;42.55;-71.26;US
01824;Chelmsford;MA;42.59;-71.36;US
01826;Dracut;MA;42.66;-71.3;US
01827;Dunstable;MA;42.66;-71.48;US
01830;Haverhill;MA;42.78;-71.08;US
01831;Haverhill;MA;42.78;-71.08;US
01832;Haverhill;MA;42.78;-71.08;US
01833;Georgetown;MA;42.73;-70.98;US
01834;Groveland;MA;42.75;-71.03;US
01835;Haverhill;MA;42.78;-71.08;US
01840;Lawrence;MA;42.7;-71.16;US
01841;Lawrence;MA;42.7;-71.16;US
01842;Lawrence;MA;42.7;-71.16;US
01843;Lawrence;MA;42.7;-71.16;US
01844;Methuen;MA;42.71;-71.18;US
01845;North Andover;MA;42.7;-71.11;US
01850;Lowell;MA;42.63;-71.32;US
01851;Lowell;MA;42.63;-71.32;US
01852;Lowell;MA;42.63;-71.32;US
01853;Lowell;MA;42.63;-71.32;US
01854;Lowell;MA;42.63;-71.32;US
01860;Merrimac;MA;42.83;-71;US
01862;North Billerica;MA;42.57;-71.29;US
01863;North Chelmsford;MA;42.63;-71.39;US
01864;North Reading;MA;42.56;-71.06;US
01865;Nutting Lake;MA;42.54;-71.25;US
01866;Pinehurst;MA;42.53;-71.23;US
01867;Reading;MA;42.53;-71.1;US
01876;Tewksbury;MA;42.61;-71.23;US
01879;Tyngsboro;MA;42.68;-71.41;US
01880;Wakefield;MA;42.5;-71.06;US
01885;West Boxford;MA;42.67;-71.03;US
01886;Westford;MA;42.58;-71.43;US
01887;Wilmington;MA;42.55;-71.16;US
01888;Woburn;MA;42.48;-71.15;US
01889;North Reading;MA;42.56;-71.06;US
01890;Winchester;MA;42.45;-71.14;US
01899;Andover;MA;42.65;-71.14;US
01901;Lynn;MA;42.47;-70.96;US
01902;Lynn;MA;42.47;-70.96;US
01903;Lynn;MA;42.47;-70.96;US
01904;Lynn;MA;42.47;-70.96;US
01905;Lynn;MA;42.47;-70.96;US
01906;Saugus;MA;42.46;-71.01;US
01907;Swampscott;MA;42.46;-70.89;US
01908;Nahant;MA;42.42;-70.92;US
01910;Lynn;MA;42.47;-70.96;US
01913;Amesbury;MA;42.85;-70.92;US
01915;Beverly;MA;42.55;-70.84;US
01921;Boxford;MA;42.67;-70.98;US
01922;Byfield;MA;42.75;-70.93;US
01923;Danvers;MA;42.57;-70.95;US
01929;Essex;MA;42.63;-70.77;US
01930;Gloucester;MA;42.62;-70.66;US
01931;Gloucester;MA;42.62;-70.66;US
01936;Hamilton;MA;42.61;-70.86;US
01937;Hathorne;MA;42.57;-70.95;US
01938;Ipswich;MA;42.67;-70.83;US
01940;Lynnfield;MA;42.53;-71.04;US
01944;Manchester;MA;42.56;-70.76;US
01945;Marblehead;MA;42.5;-70.85;US
01949;Middleton;MA;42.6;-71.01;US
01950;Newburyport;MA;42.81;-70.88;US
01951;Newbury;MA;42.8;-71;US
01952;Salisbury;MA;42.83;-70.84;US
01960;Peabody;MA;42.53;-70.97;US
01961;Peabody;MA;42.53;-70.97;US
01965;Prides Crossing;MA;42.56;-70.86;US
01966;Rockport;MA;42.64;-70.61;US
01969;Rowley;MA;42.71;-70.87;US
01970;Salem;MA;42.51;-70.9;US
01971;Salem;MA;42.51;-70.89;US
01982;South Hamilton;MA;42.62;-70.86;US
01983;Topsfield;MA;42.63;-70.95;US
01984;Wenham;MA;42.6;-70.88;US
01985;West Newbury;MA;42.8;-71;US
02018;Accord;MA;42.17;-70.88;US
02019;Bellingham;MA;42.09;-71.47;US
02020;Brant Rock;MA;42.08;-70.64;US
02021;Canton;MA;42.15;-71.13;US
02025;Cohasset;MA;42.23;-70.8;US
02026;Dedham;MA;42.24;-71.17;US
02027;Dedham;MA;42.24;-71.17;US
02030;Dover;MA;42.24;-71.27;US
02031;East Mansfield;MA;42.02;-71.17;US
02032;East Walpole;MA;42.15;-71.21;US
02035;Foxboro;MA;42.06;-71.24;US
02038;Franklin;MA;42.08;-71.38;US
02040;Greenbush;MA;42.19;-70.76;US
02041;Green Harbor;MA;42.1;-70.71;US
02043;Hingham;MA;42.23;-70.88;US
02044;Hingham;MA;42.23;-70.88;US
02045;Hull;MA;42.3;-70.9;US
02047;Humarock;MA;42.19;-70.76;US
02048;Mansfield;MA;42.02;-71.21;US
02050;Marshfield;MA;42.09;-70.7;US
02051;Marshfield Hills;MA;42.15;-70.73;US
02052;Medfield;MA;42.18;-71.3;US
02053;Medway;MA;42.13;-71.4;US
02054;Millis;MA;42.16;-71.35;US
02055;Minot;MA;42.19;-70.76;US
02056;Norfolk;MA;42.11;-71.31;US
02059;North Marshfield;MA;42.1;-70.71;US
02060;North Scituate;MA;42.21;-70.76;US
02061;Norwell;MA;42.16;-70.78;US
02062;Norwood;MA;42.18;-71.19;US
02065;Ocean Bluff;MA;42.1;-70.71;US
02066;Scituate;MA;42.18;-70.73;US
02067;Sharon;MA;42.11;-71.18;US
02070;Sheldonville;MA;42.05;-71.35;US
02071;South Walpole;MA;42.09;-71.27;US
02072;Stoughton;MA;42.11;-71.1;US
02081;Walpole;MA;42.13;-71.24;US
02090;Westwood;MA;42.21;-71.21;US
02093;Wrentham;MA;42.06;-71.33;US
02108;Boston;MA;42.35;-71.06;US
02109;Boston;MA;42.35;-71.06;US
02110;Boston;MA;42.35;-71.06;US
02111;Boston;MA;42.35;-71.06;US
02112;Boston;MA;42.35;-71.06;US
